"colline","age_group","N","prop_full","n","prop_sample","diff"
"cuba","<35",59,30.2564102564103,11,28.2051282051282,-2.05
"cuba","35-54",93,47.6923076923077,20,51.2820512820513,3.59
"cuba","55+",41,21.025641025641,7,17.9487179487179,-3.08
"cuba",NA,2,1.02564102564103,1,2.56410256410256,1.54
"karindo","<35",42,25.3012048192771,11,33.3333333333333,8.03
"karindo","35-54",97,58.433734939759,19,57.5757575757576,-0.86
"karindo","55+",27,16.2650602409639,3,9.09090909090909,-7.17
"migende","<35",42,35.2941176470588,8,33.3333333333333,-1.96
"migende","35-54",52,43.6974789915966,11,45.8333333333333,2.14
"migende","55+",23,19.327731092437,5,20.8333333333333,1.51
"migende",NA,2,1.68067226890756,NA,NA,NA
"mubaragaza","<35",35,21.4723926380368,7,21.2121212121212,-0.26
"mubaragaza","35-54",79,48.4662576687117,17,51.5151515151515,3.05
"mubaragaza","55+",45,27.6073619631902,9,27.2727272727273,-0.33
"mubaragaza",NA,4,2.45398773006135,NA,NA,NA
"muvumu","<35",52,21.3114754098361,5,10.2040816326531,-11.11
"muvumu","35-54",128,52.4590163934426,29,59.1836734693878,6.72
"muvumu","55+",62,25.4098360655738,14,28.5714285714286,3.16
"muvumu",NA,2,0.819672131147541,1,2.04081632653061,1.22
"nganji","<35",59,26.457399103139,13,28.8888888888889,2.43
"nganji","35-54",87,39.0134529147982,15,33.3333333333333,-5.68
"nganji","55+",75,33.6322869955157,16,35.5555555555556,1.92
"nganji",NA,2,0.896860986547085,1,2.22222222222222,1.33
"rusi","<35",37,17.7884615384615,4,9.52380952380952,-8.26
"rusi","35-54",113,54.3269230769231,32,76.1904761904762,21.86
"rusi","55+",54,25.9615384615385,6,14.2857142857143,-11.68
"rusi",NA,4,1.92307692307692,NA,NA,NA
"ruyaga","<35",102,32.1766561514196,26,41.2698412698413,9.09
"ruyaga","35-54",162,51.1041009463722,30,47.6190476190476,-3.49
"ruyaga","55+",48,15.1419558359621,6,9.52380952380952,-5.62
"ruyaga",NA,5,1.57728706624606,1,1.58730158730159,0.01
"shanga","<35",19,16.8141592920354,3,13.6363636363636,-3.18
"shanga","35-54",56,49.5575221238938,14,63.6363636363636,14.08
"shanga","55+",37,32.7433628318584,5,22.7272727272727,-10.02
"shanga",NA,1,0.884955752212389,NA,NA,NA
