"colline","farm_class","N","prop_full","n","prop_sample","diff"
"cuba","<0.5 ha",142,72.8205128205128,24,61.5384615384615,-11.28
"cuba","0.5-1 ha",36,18.4615384615385,13,33.3333333333333,14.87
"cuba","1–2 ha",11,5.64102564102564,2,5.12820512820513,-0.51
"cuba",">2 ha",6,3.07692307692308,NA,NA,NA
"karindo","<0.5 ha",39,23.4939759036145,12,36.3636363636364,12.87
"karindo","0.5-1 ha",54,32.5301204819277,7,21.2121212121212,-11.32
"karindo","1–2 ha",45,27.1084337349398,9,27.2727272727273,0.16
"karindo",">2 ha",28,16.8674698795181,5,15.1515151515152,-1.72
"migende","<0.5 ha",69,57.9831932773109,15,62.5,4.52
"migende","0.5-1 ha",23,19.327731092437,6,25,5.67
"migende","1–2 ha",15,12.6050420168067,1,4.16666666666667,-8.44
"migende",">2 ha",12,10.0840336134454,2,8.33333333333333,-1.75
"mubaragaza","<0.5 ha",124,76.0736196319018,24,72.7272727272727,-3.35
"mubaragaza","0.5-1 ha",25,15.3374233128834,6,18.1818181818182,2.84
"mubaragaza","1–2 ha",12,7.36196319018405,2,6.06060606060606,-1.3
"mubaragaza",">2 ha",2,1.22699386503067,1,3.03030303030303,1.8
"muvumu","<0.5 ha",167,68.4426229508197,31,63.265306122449,-5.18
"muvumu","0.5-1 ha",38,15.5737704918033,5,10.2040816326531,-5.37
"muvumu","1–2 ha",28,11.4754098360656,10,20.4081632653061,8.93
"muvumu",">2 ha",11,4.50819672131148,3,6.12244897959184,1.61
"nganji","<0.5 ha",132,59.1928251121076,27,60,0.81
"nganji","0.5-1 ha",45,20.1793721973094,10,22.2222222222222,2.04
"nganji","1–2 ha",31,13.9013452914798,6,13.3333333333333,-0.57
"nganji",">2 ha",15,6.72645739910314,2,4.44444444444444,-2.28
"rusi","<0.5 ha",113,54.3269230769231,24,57.1428571428571,2.82
"rusi","0.5-1 ha",41,19.7115384615385,7,16.6666666666667,-3.04
"rusi","1–2 ha",30,14.4230769230769,5,11.9047619047619,-2.52
"rusi",">2 ha",24,11.5384615384615,6,14.2857142857143,2.75
"ruyaga","<0.5 ha",180,56.782334384858,35,55.5555555555556,-1.23
"ruyaga","0.5-1 ha",60,18.9274447949527,13,20.6349206349206,1.71
"ruyaga","1–2 ha",51,16.0883280757098,6,9.52380952380952,-6.56
"ruyaga",">2 ha",26,8.2018927444795,9,14.2857142857143,6.08
"shanga","<0.5 ha",78,69.0265486725664,13,59.0909090909091,-9.94
"shanga","0.5-1 ha",19,16.8141592920354,4,18.1818181818182,1.37
"shanga","1–2 ha",12,10.6194690265487,4,18.1818181818182,7.56
"shanga",">2 ha",4,3.53982300884956,1,4.54545454545455,1.01
